21,TRUE,,Платежная система АйЖКХ,Компания АйЖКХ приступила к разработке электроной платежной системы,10/10/2012
22,FALSE,,Мобильное приложение,Запущена разработка мобильного приложения и веб-портала,11/20/2012
23,TRUE,,Привлечение поставщиков услуг,"Настало время открывать новое направление - по привлечению поставщиков услуг. В команду проекта вошли высококлассные специалисты, готовые доносить до поставщиков все выгоды нового веб-сервиса.",1/25/2013
24,TRUE,,Мобильное приложение,"Сегодня состоялся просмотр альфа-версии мобильного приложения АйЖКХ. Основа уже есть, двигаемся дальше.",4/7/2013
25,FALSE,,СМИ о нас,"В сегодняшнем номере крупнейшей местной деловой газеты «Самарское обозрение» (№29) вышла <a href=""content_files/29_жкх.pdf"">статья</a> о нашем основателе А.И.Васильеве и о проекте АйЖКХ. Это первое публичное упоминание о нас в средствах массовой информации. Кстати, мы почти сразу получили отзывы о том, что статья вызвала интерес! Это обнадеживает.",4/25/2013
26,TRUE,,Финансовые партнёры,"После долгих поисков, встреч и обсуждений определены основные финансовые партнеры проекта – это процессинговый центр <a href=""http://www.payonline.ru/"">PayOnline</a> и банк-эквайер <a href=""http://www.bm.ru/"">Банк Москвы.</a> И даже договоры уже подписаны.Ура!",4/30/2013
27,TRUE,,Привлечение поставщиков услуг,В апреле нашим доблестным менеджерам по работе с поставщиками удалось заключить 12 договоров с ТСЖ и Управляющими компаниями. Хорошее начало!,5/5/2013
28,TRUE,,Оплата штрафов ГИБДД,"Подписан договор с ГУ МВД Самарской области о приеме оплаты штрафов ГИБДД. Стоит отметить, что не всем платежным системам удалось предоставить своим клиентам такую возможность.",5/16/2013
29,TRUE,,Мобильное приложение,Бета-версия нашего приложения отправлена на рассмотрение в AppStore. Держим пальцы скрещенными!,5/30/2013
30,TRUE,,Привлечение поставщиков услуг,"Подписан договор с ООО «ТЦД Цифрал-Сервис» и ООО «Цифрал-Самара» . Теперь жители городов Самара, Новокуйбышевск, Кинель и близлежащих населенных пунктов (Алексеевка, Курумоч, п. Новосемейкино, п. Петра Дубрава, п.Стройкерамика, п.Усть-Кинельский, п.Смышляевка, п.Береза, Жилгородок, п.Мирный, п.Рощинский) могут оплачить услуги домофонной компании через мобильное приложение и веб-сервис АйЖКХ, а также будут получать на свои мобильные устройства информацию о сумме к оплате.",6/11/2013
31,TRUE,,Мобильное приложение.,Приложение АйЖКХ для iPhone доступно для скачивания.,6/27/2013
32,TRUE,,Привлечение новых поставщиков услуг.,"Подписан договор с ООО «Сервис-Центр-Цифрал» и ООО «Цифрал-Автоград», что дает возможность жителям города Тольятти оплачивать услуги домофонной компании через мобильное приложение и веб-сервис АйЖКХ, а также получать информацию о сумме к оплате на свои мобильные устройства.",6/28/2013
33,TRUE,,Привлечение новых поставщиков услуг.,"Подписан договор с ЗАО ""Предприятие тепловых сетей"". За тепловую энергию и горячую воду плательщики ЗАО ""ПТС"" теперь могут оплачивать через мобильное приложение и веб-сервис АйЖКХ.",7/1/2013
34,TRUE,,170 пользователей зарегистрировано.,"У нас уже 170 зарегистрированных пользователей! Без продвижения, без рекламы... Не ожидали. Похоже, сервис действительно нужен. Спасибо нашим клиентам-новаторам!",7/28/2013
35,TRUE,,Опрос клиентов АйЖКХ.,"Начался пробный онлайн-опрос клиентов. Нам очень важно получить обратную связь и ответы на вопросы, которые помогут сделать сервис действительно удобным. В будущем планируем сделать такие опросы регулярными.",7/30/2013
36,TRUE,,"С днём рождения, Андрей Иванович!",От всей души поздравляем нашего идейного вдохновителя и основателя компании Андрея Ивановича Васильева с Днем рождения! Спасибо Вам за возможность созидательной и интересной работы! Развернутые поздравления передаем в очной форме :-),8/2/2013
